Name,Country,Episodes,Score,Number_of_rates,Description,Genres,Tag,Director,Screenwriter
"Poong, the Joseon Psychiatrist Season 2",South Korea ,10,7.9,783,"Once a royal physician, Yoo Se Poong was ousted from the palace after his involvement in a conspiracy surrounding the royal family. With nowhere else to go, Se Poong eventually found himself in the strange yet beautiful village of Gyesu. It was there he met Seo Eun Woo and Gye Ji Han and his life was changed forever.

With the help of his new friends, Se Poong began to grow as both a physician and a human. Learning how to not only treat the body but also the heart and minds of his patients, Se Poong successfully fulfilled his mission to become a true doctor. Or so he thought. With new patients and new challenges before him, Se Poong must once again set out on a quest to better both himself and the lives of those around him.

Using his unorthodox methods to treat his patients, both mentally and physically, will Se Poong’s new adventures lead him to an even deeper understanding of both the heart and the mind?

(Source: Viki)

~~ Adapted from the novel ""Joseon Psychiatrist Yoo Se Pung"" (조선 정신과 의사 유세풍) by Lee Eun So (이은소).","Historical,  Mystery,  Romance,  Medical ",Doctor Female Lead Doctor Male Lead Traditional Medicine Found Family Historical Fiction Psychiatry Slow Romance Joseon Dynasty Investigation Slight Comedy,"Park Won Gook,  Kang Hee Ju ",Lee Bom 
A Year-End Medley: Extended Version,South Korea ,6,7.9,208,"A six-part extended version of the film ""A Year-End Medley"" (2021).
It depicts the story of clients who visit the hotel 'Emross' with their own stories as they make their own relations in their own style.

(Source: Wikipedia) ","Romance,  Drama,  Melodrama ",Christmas Setting New Year Setting Hotel Setting Snowy Setting Multiple Mains Miniseries Multiple Couples,,
Undefeated,Thailand ,1,7.9,283,"~~ Adapted from the video game ""Garena Free Fire"". ",Action ,Gun Violence Adapted From Video Game Badass Female Lead Strong Female Lead Skilled Fighter Short Film Advertisement Teamwork Gun Fight Strong Male Lead,,
Fight Song,Japan ,10,7.9,692,"Kisara Hanae, a girl who retired from karate due to an accidental injury and was at the lowest point of her life. She meets Ashida Haruki, the songwriter of a song she used to listen to before every match. But he is now a failed musician, a one-hit wonder, and a weirdo with a lot of problems! Hanae's childhood friend, Natsukawa Shingo, who is always watching over her gets involved and a love triangle develops. Hanae has a ""secret"" that she can't tell anyone, and decides that ""this is the last love of her life"". 

(Source: okaerikaya at Twitter)","Comedy,  Romance,  Life,  Drama ",Childhood Friends' Relationship Songwriter Male Lead Athlete Female Lead Musician Male Lead Hearing Impaired Supporting Character Cheerful Female Lead Chasing A Dream Karate Awkward Male Lead Bright Female Lead,"Ishii Yasuharu,  Okamoto Shingo,  Murao Yoshiaki ",Okada Yoshikazu 
The Legend of Zu Season 2,China ,48,7.9,308,"A story about a mysterious young heroine who embarks on a search for the big hero who once saved her life. Together with her brother, she comes under the tutelage of Zu Mountain, thus embarking on a journey to help their people.

Yu Ying Nan and her older brother Yu Ying Qi grew up together, yet the two have secrets of their own. Ying Nan doesn't know that her brother simply found her when she was a young girl who had already lost all of her memories. On the other hand, Ying Qi and his tribesmen have been suffering year after year due to the Chihun Stone and they can only retire to a small village.

On her eighteenth birthday, Ying Nan encounters Bai Gu Yi of the Cang Xu Sect and mistakenly assumes that he is the big hero that she has been dreaming about. In pursuit of love, she tries to apply to be a student of Cang Xu but ends up with her brother in Zu Mountains. The two sects combine forces to tackle the problems presented by the Chihun Stone, and Yin Nan, Ying Qi and Bai Gu Yi are selected as the students for the new venture.

(Source: ChineseDrama.info)","Romance,  Wuxia ",Snowy Setting Hatred Strong Male Lead Sassy Female Lead Steamy Kiss Power Struggle Sword-fight Jealousy Adoption Love/Hate Relationship,"Vicky Wong,  He Zhen Hua,  Liang Guo Guan ",
Great Men Academy,Thailand ,8,7.9,"5,580","Love has always been a fan of the popular guy Vier of the famous Great Men Academy but has never had the chance to meet him. One day, she sees the mystical unicorn rumored to fulfill wishes and wished for her love for Vier to get a chance. Unfortunately the unicorn interpreted her wishes in a different way and Love wakes up to find herself... as a guy? ","Comedy,  Romance,  Youth,  Fantasy ",Gender Swap Magic Body Transformation Love Triangle Competition Secret Crush LGBTQ+ Unrequited Love All-Boys School Magical Realism,"er & Director: Wan Wanwaew Hongvivatana,  Waew Waewwan Hongvivatana ","Ping Kriangkrai Vachiratamporn,  Cook Tanida Hantaweewatana,  Meen Tossaphon Riantong,  Dew Thanapol Chaowanich,  Parkpoom Wiboonronnarong,  Natcha Kittimongkolchai "
The Only Girl You Haven't Seen,China ,18,7.9,972,"A Qi, the daughter of the prime minister of Yan State, was framed by the third prince, He Lian Chen and was murdered. After A Qi died, her body was thrown into the lake, but strangely A Qi did not die. When she opened her eyes again, she found that her appearance and identity had become Leng Li, the daughter of General Leng Shao of Yanguo. Before A Qi, who had become Leng Li, had recovered, she was married to the mansion of He Lian Xuan, the fifth prince of the Yan Kingdom.

Although He Lian Xuan looked a little honest, he was loyal and kind, and he was even more gentle towards Leng Li. In the days of getting along with He Lian Xuan day and night, Leng Li gradually fell in love with this ""silly prince."" The lives of Leng Li and He Lian Xuan were shaken by sudden changes again and again. The two could only face difficulties and dangers together. The sharing of joys and sorrows made their hearts closer, but Leng Li also discovered the unknown side behind He Lian Xuan.

(Source: kisskh.me)","Romance,  Wuxia,  Supernatural,  Political ",Short Length Series Historical Action Prince Supporting Character Prince Male Lead Transmigration Royalty Hidden Personality Forced Marriage Strong Female Lead,,
"Last Winter, We Parted",Japan ,,7.9,320,"Kyosuke Yakumo works as a reportage writer. His fiance is Yuriko Matsuda and they will marry soon. For his next book, Kyosuke Yakumo begins research on a burned to death murder case involving a beautiful blind woman. The suspect in the case is photographer Zakayudai Kihara. ~~ Based on the novel ""Kyonen no Fuyu, Kimi to Wakare"" by Fuminori Nakamura. ","Thriller,  Mystery,  Drama,  Melodrama ",Investigation Arson Photographer Deception Photography Death Scheme Incest Suspense Sexual Content,Takimoto Tomoyuki ,Oishi Tetsuya 
We Got Married Global Edition Season 2,South Korea ,15,7.9,498,"A global edition spinoff of the widely popular We Got Married, get to see how the on-screen virtual marriage between celebrities from different countries work out through weekly missions and candid interviews. ","Romance,  Life ",Reality Show AOA F(x) INFINITE Miss A Apink EXO Super Junior Dating Show SHINee,,
Drama Special Season 9: Review Notebook of My Embarrassing Days,South Korea ,1,7.9,823,"Everyone experiences trials and errors as one lives on one’s life. Those trials and errors become one of the memories of embarrassing moments. Despite one’s strong resolution to not do it again, it happens again. Just like we used to make review notes to find the correct answer, we might be able to get a brighter future through embarrassing moments. A math teacher gets chosen as an exam writer for College Scholastic Ability Test and attends a training camp. Between her first love and her ex-husband, she makes an amusing and sweet journey to try to find her own answer.
(Source: KBS World TV)","Romance,  Life,  Drama ",Slight Comedy Meet Again First Love Police Officer Male Lead Teacher Female Lead,Hwang Seung Gi ,Bae Soo Young 
Where Stars Land,South Korea ,32,7.9,"13,660","Where Stars Land follows the lives of workers at Incheon Airport, and in particular, the interactions between a clumsy, yet bubbly, woman named Han Yeo Reum and a prickly and mysterious man named Lee Soo Yeon.

Han Yeo Reum is a first year member of the Passenger Services team and is anything but ordinary. She wants to be a perfectionist and get everything right but her very clumsy and reckless nature goes against this dream. She has a good heart and strives to do the right thing even if it means going against the rules.

Lee Soo Yeon is also a first year member of the General Planning department. He is a perfectionist who wants nothing but to be ordinary. He graduated from KAIST and dreamed of becoming a pilot. He seems cold and aloof when in fact he is lonely, but a mysterious secret he hides causes him to distance himself from everyone he interacts with.

When these two polar opposite individuals interact, they start off at the wrong foot. But over time, can a love develop?

(Source: AJ at MyDramaList)","Comedy,  Romance,  Drama,  Melodrama ",Cold Man/Warm Woman Teamwork Flashback To Past Male Chases Female First Clumsy Female Lead Airhead Female Lead Steamy Kiss Reserved Male Lead Car Accident Tough Male Lead,Shin Woo Cheol ,Kang Eun Kyung 
The Fox's Summer,China ,21,7.9,"6,258","Gu Cheng Ze, the adopted son of the Gu family, is the CEO of Gu Mall Corporation. Mrs. Gu wishes for her biological grandson, Gu Jin Yu, to take over the company, and Gu Cheng Ze is tasked with guiding the rightful heir towards becoming a respectful businessman. During this time, he meets fashion designer Li Yan Shu and discovers that she is Gu Jin Yu's ex-girlfriend. He decides to hire her to motivate Gu Jin Yu, who still harbors feelings for Li Yan Shu. The plan works because Gu Jin Yu decides to join the company and pursue her. When Mrs. Gu finds out about Gu Jin Yu's feelings for Li Yan Shu, she is livid and tells Gu Cheng Ze to separate them. This creates an opportunity for Gu Cheng Ze and Li Yan Shu to get closer to each other.

(Source: Wikipedia)

~~ Adapted from the web novel ""When the President Falls in Love"" (当总裁恋爱时) by Shen Cang Mei (沈滄眉).","Comedy,  Romance ",Obsessive-compulsive Disorder (OCD) Cohabitation Love Square Boss-Employee Relationship Adapted From A Web Novel Fashion Industry Mental Illness Adoption Strong Female Lead Rich Male Lead,Yu Chung Chung ,
Nice Witch,South Korea ,40,7.9,"2,095","A housewife too nice for her own good is married to an unemployed husband. She switches places with her selfish, opinionated twin sister, who works as a flight attendant. Although they are identical twins, they have polar opposite personalities. Aboard the plane, she meets the pilot, an abstinent bachelor, and their journey sets off.

(Source: SBS International) ","Comedy,  Romance,  Drama,  Melodrama ",Identity Swap Double Identity Identical Twin Female Lead Flight Attendant Female Lead Pilot Male Lead Innocent Female Lead Sisters' Relationship Brother-Sister Relationship Flashback To Past Attempted Assault,,Yoon Young Mi 
Kanojo wa Uso wo Aishisugiteru - Sidestory,Japan ,10,7.9,"1,030",These are the stories from before Aki and Riko met. Each side story is narrated by different character. ,"Music,  Youth ",Adapted From A Manga Short Length Series Miniseries,Makabe  Yukinori ,
UNDER19,South Korea ,14,7.9,636,"This show introduces singers, rappers, dancers and also people who are able to produce music or choreography. The goal of this show is to create a new-generation K-pop group with musicians having their own vision of the world. 

Of fifty-seven contestants, the final nine winners of this show sign a twelve-month contract with MBC and MBK Entertainment.

(Source: K-Gen.fr; AllKpop) ","Music,  Youth ",K-Pop 1THE9 (Group) TEMPEST Super Junior - D&E Mirae WEi OMEGA X JUST B Ciipher X1,,
Produce X 101: The Beginning,South Korea ,1,7.9,511,A special episode aired a week before the premiere of Produce X 101. ,Music ,LE SSERAFIM Ive (Group) IZ*ONE HKT48 AKB48 K-Pop F.T. Island Music Show,An Joon Young ,
The Pirates 1,South Korea ,,7.9,"3,726","On the eve of the founding of the Joseon Dynasty, a delegation of Chinese envoys is transporting the Emperor’s State Seal only to have it swallowed by a whale mid-journey. The substantial reward announced for its return motivates Jang Sa Jung and his mountain men to hunt down the whale. Soon enough he clashes with Yeo Wol, the female pirate captain, putting them on course for an uncharted adventure. ","Action,  Adventure,  Historical,  Fantasy ",Strong Female Lead Strong Male Lead Female Lead Action Scenes Joseon Dynasty Thief Friendship Sword-fight Slight Romance Pirate Female Lead Thief Male Lead,Lee Seok Hoon ,Chun Sung Il 
My Last Love,South Korea ,,7.9,249,"An adolescent teenager from a family with troubles named Kim Dal Nim dreams of becoming a singer and busks on the streets. The family doesn't spend much time together, but this is the story of when they start to really see each other. ","Life,  Drama ",Singer Female Lead Chasing A Dream Regret Family Relationship Music,,
Produce 101 China,China ,10,7.9,932,"A girl group survival, reality show. It is the first edition of the Produce 101 China franchise, a spinoff from the South Korean franchise show Produce 101.

The show ended with the announcement of 11 membered group, Rocket Girls 101, which debuted on 23 June 2018. ","Music,  Youth ",Singing Dance Survival Show Competition MDL Remake Chic Chili 3unshine Popu Lady A'N'D S.H.E,Sun Li ,
2018 Idol Star Athletics Championships Chuseok Special,South Korea ,4,7.9,247,,Sports ,K-Pop Red Velvet Apink ALICE The Ark PRISTIN V PRISTIN BIGSTAR Dreamcatcher Gugudan,,
Decoded,China ,44,7.9,418,"A math genius gets recruited by Chinese spy agency to crack a complex coded message in the early republican era.

~~ Adapted from a book of the same name by Mai Jia (麥家).

~~~Drama has also 41 episodes version ","Military,  Thriller,  Historical,  Crime ",Autistic Male Lead Neurodevelopmental Disorder Code Breaker Male Lead Mathematician Male Lead Genius Male Lead Historical Fiction Chinese Republican Era Spy Autism Disability,An Jian ,Feng Ji 
Khun Chai Phutthiphat,Thailand ,10,7.9,"1,040","Khun Chai Phutthiphat is a young doctor who has no time for love. Despite the fact that his grandmothers are trying to matchmake him to the second Thewaphrom daughter Maratee, his younger brothers are interested to find out if there is a woman out there who can win his heart. They set him up by sending him to a beauty pageant electing the year's 'Miss Sri Siam' and there he falls in love at first sight with pageant winner Krongkaew.

What follows is a series of exciting adventures as he gets involved in Krongkaew's efforts to escape from becoming a powerful General's concubine, while resisting the matchmaking attempts of his grandmothers and the grasping claws of Maratee. In the end, this young noble will discover that this commoner girl whom he fell in love with is more precious than any diamonds and gems in the world, and that he will do anything to win her heart. 

(Source: MyDramaList) 

~~Adapted from the novel ""Khun Chai Phutthiphat"" (คุณชายพุฒิภัทร) by Kaotaem (เก้าแต้ม).","Action,  Historical,  Romance,  Drama ",Rich Man/Poor Woman Adapted From A Novel Forbidden Love Love At First Sight Male Chases Female First Family Pressure Character Development Rich Male Lead Love Triangle Concubinage,Paajaew Yuthana Lorphanpaibul ,Pranpramoon 
To Be a Better Man,China ,42,7.9,454,"Lu Yuan worked hard in America to become a Michelin 3-starred chef. To many, he is the Devil incarnate, reckless and wanton. But when it comes to the person he loves, he is an entirely different ""good man,"" loyal, kind, and honest. After a nightmarish car accident takes away his friend Da Peng, Lu Yuan planned to return home with Da Peng's ashes, return his daughter to her mother and then die quietly. However, he runs into the person he doesn't want to see and becomes entangled with his ex, Gan Jing, their old classmate, Jiang Hao Kun, and Hao Kun's younger sister, Jiang Lai.","Comedy,  Romance,  Life ",Chef Male Lead Age Gap [Drama Life] Age Gap [Real Life] Single Father Male Lead Attempted Suicide Mental Illness Older Man/Younger Woman Multiple Mains Black Comedy Father-Daughter Relationship,Zhang Xiao Bo ,Zhang Ying Ji 
Kazoku Boshu Shimasu,Japan ,9,7.9,319,"This work is a home drama featuring Shunpei Akagi, who just became a single father three months ago for some reason. When a childhood friend wrote on SNS that ""# I am looking for a family"" with a humorous idea, Shunpei decided to live under one roof with four adults and three children. They are depicted as having different personalities and values, and eventually becoming a ""family"". ",Drama ,Found Family Heartwarming Nice Male Lead Hardworking Male Lead Mother-Son Relationship Mother-Daughter Relationship Father-Son Relationship Secret Childhood Friends' Relationship Single Father Male Lead,"Fukuda Ryosuke,  Murao Yoshiaki ",Magy 
Legal High SP 2,Japan ,1,7.9,515,Attorneys Kensuke and Machiko receive a request from a general hospital. They go up against veteran attorney Kazuma Kuzyo who is trying to extract money from the general hospital by a medical malpractice lawsuit. ,"Comedy,  Law ",Attorney Female Lead Attorney Male Lead Smart Male Lead Eccentric Male Lead,Ishikawa Junichi ,Kosawa Ryota 
Light Chaser Rescue,China ,40,7.9,"1,180","A devastating earthquake has occurred in Xichuan. Lawyer Luo Ben has gone to the disaster-stricken area to look for his younger and mute sister Luo Yuan. It's there that he comes into contact with the Light Chaser Rescue unit under the leadership of Captain Qing Shan and with his sister's new friend Xiong Fei, an integral part of the unit. Luo Ben also encounters Zhan Yan whom he met previously in less then ideal circumstances. However, he soon changes his mind about her as he comes to admire her selflessness and brilliance as a doctor.

Luo Ben bears witness to the people's sense of camaraderie in the face of adversity and becomes deeply inspired by the volunteer efforts. Luo Ben along with Zhou Min Ming and Ding Ding Ding join as the new recruits to the team. They survive Captain Qing Shan's ""training from hell"" and put their lives on the line in every rescue and disaster relief operation that pits them against earthquakes, fires, floods and typhoons. At the end of the day, though they finally grow into an elite rescue unit, will love find them in the most inhospitable of situations? 

(Source: ChineseDrama.info; edited by MyDramaList)","Action,  Thriller,  Romance,  Drama ",Rescue Mission Lawyer Male Lead Doctor Female Lead Brother-Sister Relationship Disaster Rescue Team Earthquake Father-Daughter Relationship Male Chases Female First Multiple Couples,Zhang Tong ,Lei Juan 
The Taoism Grandmaster,China ,46,7.9,838,"It has been foretold over three thousand years ago that the apocalypse is impending and that one Taoist grandmaster will emerge to save the world. To give the people a fighting chance, the immortals have gathered a team of gifted individuals in search for the sacred shield. ","Historical,  Wuxia,  Fantasy ",Taoism Historical Fiction Han Dynasty Xianxia Chinese Mythology Martial Arts Adventure Action,Wong Chun Man ,Chan Sap Sam 
Oh! My Boss! Koi wa Bessatsu de,Japan ,10,7.9,"2,079","Nami Suzuki was born and raised in a small rural town. She doesn't have a specific dream to pursue and she is an easy going person. As an ordinary woman, she desires to be happy with an ordinary life. She follows Kenya, who is her childhood friend and her unrequited love, and applies for a job in the supply management department of a large publishing company in Tokyo. Nami gets hired by the company, but she is assigned to work in the editorial department of a fashion magazine.

There, Nami Suzuki works with chief editor Reiko Horai. She is a devil like boss, who makes spiteful remarks and has a cold personality. Reiko Horai treats Nami, who doesn’t take her job seriously, in a callous manner. But, as Nami Suzuki watches her boss deal with her job, Nami begins to change her attitude toward her work.

(Source: AsianWiki)","Business,  Comedy,  Romance,  Life ",Character Development Personal Assistant Female Lead Freelancer Male Lead Photographer Male Lead Editor-in-chief Female Lead Easy-going Female Lead Fashion Industry Nice Female Lead Hardworking Female Lead Clumsy Female Lead,"Ishii Yasuharu,  Tanaka Kenta,  Yamamoto Takeyoshi ",Tanabe Shigenori 
BOSS 2,Japan ,11,7.9,"1,045","Starting from the end of season 1, Eriko Osawa's cellphone rings at Narita International Airport as she about to leave the country. She will then return to the special detective unit to take on a case that will shake the entire country. ","Mystery,  Comedy ",Investigation Police Department Setting Teamwork Police Procedural,"Tanaka Ryo,  Mitsuno Michio,  Ishii Yusuke ","Tokunaga Yuichi,  Hayashi Koji "
Back to 20,China ,,7.9,"2,368","Shen Meng Jun is a crotchety 70-year-old widow whose family decides its time for her to go to a nursing home. Feeling forlorn, she wanders the streets and impulsively decides to take a final portrait at a photo studio she happens by. Upon leaving, to her astonishment, she realizes that she has been transformed back into her 20-year-old self. Given a magical second chance at youth, she changes her name to Meng Li Jun and decides to chase her dream of becoming a singer. Will she find success and love this second time around?
(Source: CJ Entertainment)","Music,  Comedy,  Romance,  Supernatural ",Aspiring Singer Supernatural Phenomena Becoming Young Family,Leste Chen ,Fang Qiang Qiang 
Don Quixote,Japan ,11,7.9,"1,100","In this unusual story, Matsuda plays a child welfare official Shirota working at a child consultation center, while Takahashi Katsumi plays a charitable yakuza boss Sabashima. These two lead completely different lives, but one day, their souls are suddenly switched. As a result, Shirota begins dispensing odd advice about the ""rules of society"" and other things. While his colleagues naturally see this as a problem, the children gradually come to rely on him.  ","Comedy,  Drama,  Supernatural ",Social Worker Male Lead Gangster Male Lead Moral Dilemma Mafia Child Abuse Yakuza Identity Swap Body Swap,"Otani Taro,  Nakajima Satoru,  Matsunaga Yoichi,  Matsubara Hiroshi ","Nemoto Nonji,  Oishi Tetsuya "
Kaitou Sentai Lupinranger VS Keisatsu Sentai Patranger,Japan ,51,7.9,504,"For the first time in Super Sentai history, two teams will be facing off on opposing sides of the law!

The 'Lupin Collection' is a group of treasures with enough power to endanger the world. It is stolen by the 'Ganglers' who come from another world. The Lupinranger's goal is to reclaim the collection while the Patorangers goal is to take down the 'Ganglers'. ","Action,  Tokusatsu,  Sci-Fi ",Phantom Thief Superhero Female Lead Superhero Male Lead Multiple Mains,"Sugihara Teruaki,  Watanabe Katsuya ",Komura Junko 
The Disappearing Child,China ,12,7.9,222,"Dawn, the morning of the winter solstice, Yang Yuan's nine-year-old son disappeared into the stairwell without a trace. The police were called and, after talking with residents, identified a suspect. However, the suspected neighbor has a solid alibi. 

You'd say that one tragedy was enough for the residential housing, but in another apartment, Yuan Wu's father dies suddenly after drinking. Yuan Wu and his father were short on money, to begin with, and now Yuan Wu doesn't know how he will continue on living without his father's pension. These weren't the only tragic events happening in this apartment complex -  six months ago, Lin Chu Ping, a single female white-collar worker living alone, woke up in her home to find that she had been violated in her sleep. There is no trace of the perpetrator except for an ether handkerchief left on the windowsill. 

As the police continue their investigation, these events become more entangled with each other. Can they find Yang Mo before it's too late?

(Source: iQIYI; Chinese = Douban || Translation = MyDramaList)

~~ Adapted from the novel ""Hai Ku"" (海葵) by Bakerbong / Bi Ke Bang (贝客邦).","Thriller,  Mystery,  Drama ",Death Of A Father Searching For Son Missing Child Missing Person Death Web Series Adapted From A Novel Investigation Family Suspense,Tian Li ,
"Itsuka, Nemuri ni Tsuku Hi",Japan ,6,7.9,761,"A second year high school student, Morino Hotaru has spent the last few years crushing on her classmate, Otaka Ren. Unable to find the courage to confess her feelings, Hotaru has become something of an expert in unrequited love.

One day, while on a school trip with Ren and her best friend, Yamamoto Shiori, their bus gets into an accident. Blacking out for a bit, Hotaru wakes up to find a young man, dressed fully in black, standing over her. Shocked by his sudden appearance, Hotaru shoves him away but he refuses to leave. Introducing himself as Kuro, he announces that he’s a grim reaper and that Hotaru is dead. 

As if the news of her death wasn’t shocking enough, Kuro goes on to explain that she has 49 days in which to resolve the three lingering attachments she has to her past life. If she fails to resolve these lingering regrets within the given time, she’ll become a ghost, bound to this world, unable to rest in peace for all eternity. There’s just one problem, Hotaru has been asleep for a month and now has only nineteen days in which to resolve her regrets.

Difficult as it seems, Hotaru sets out to free herself from the last, lingering attachments to her mortal life. With time running out, she must hurry, but saying goodbye is hard and saying “I love you” feels nearly impossible!

(Source: Viki)

~~ Adapted from the cellphone novel ""Itsuka, Nemuri ni Tsuku Hi"" (いつか、眠りにつく日) by Inujun (いぬじゅん).","Youth,  Fantasy,  Supernatural ",Ghost Adapted From A Novel Grim Reaper Male Lead Innocent Female Lead Miniseries Secret Crush Death Bus Accident High School Teenager Supporting Character,Miyawaki Ryo ,
Anger,Japan ,,7.9,759,"Three tales about enigmatic strangers entering into the lives of trusting citizens play out in three different Japanese cities, hinting at a connection to a grisly home invasion homicide in the Tokyo metro area.

(Source: Rotten Tomatoes) ","Thriller,  Mystery,  Drama ",Murder Sexual Content Gay Romance Investigation Suspense Multiple Mains Death Father-Daughter Relationship Multiple Couples Psychological,er & Director: Lee Sang Il ,
HiGH&LOW THE WORST EPISODE.0,Japan ,6,7.9,440,"The story tells what happened at the Oya Institute after the fight in the containers of the High & Low movie.

Fujio and Tsukasa were students from Oya High School, but Fujio had to move to a school in the countryside where his grandfather lives to take care of him. While in the institute new students will try to take control. ","Action,  Comedy,  Youth ",Teenager Supporting Character Teenager Male Lead Miniseries High School Gang Student Bromance School Friendship,"er & Director: Hiranuma Norihisa,  Masumoto Shoichiro ",
The Yin Yang Master,China ,,7.9,"3,021","Captain of the City Guard Yuan Boya is stripped of rank after the imperial tribute he was guarding is stolen. Unwilling to let things lie, he searches for the thieves, only to end up entering a mystical world of demons. Along the way, he becomes mixed up in a feud between Yin Yang Master Qing Ming and the human and demon worlds. Yuan Boya and Qing Ming go from mutual distaste to grudging respect, eventually establishing an unbreakable bond between master and ""familiar."" The two work together to solve an old mystery and prove Qing Ming's innocence, while also unraveling a conspiracy to bring the Demon King back from the dead and destroy the human world.

(Source: IMDb)

~~ Adapted from the mobile game ""Onmyoji"" (阴阳师) by NetEase, which in turn is based upon the novel series ""Onmyoji"" (陰陽師) by Yumemakura Baku (夢枕獏).","Romance,  Wuxia,  Drama,  Fantasy ",Half-Human Half Demon Strong Male Lead Adapted From Video Game Master-Servant Relationship Demon Strong Female Lead Spirit CGI Kind Male Lead,Li Wei Ran ,"Even Jian,  Zhang Jia Lu "
Ishi no Mayu,Japan ,5,7.9,811,"Toko Kisaragi is a new female detective who was transferred to 11 Section of the 1st Investigation Division at the Tokyo Metropolitan Police Department as she wishes. Her father was a former detective of the same police department.

On March 9, a murder case was reported and the victim's body was found cemented. The next morning, the killer brazenly calls the police department and he identifies himself as Toremi.  Toko Kisaragi becomes Toremi's negotiator. The murderer continues to shake the investigation headquarters, calling the investigation headquarters frequently and presenting information about his murder. Toremi leads the police to the second victim. There, the police discovered the victim's body cemented.

(Source: Wikipedia, AsianWiki)

~~ Adapted from the novel ""Ishi no Mayu Keishicho Satsujin Bunsekihan"" by Kazushi Asami.","Thriller,  Mystery,  Drama ",Adapted From A Novel Detective Female Lead Murder Investigation Suspense Revenge Miniseries Father-Daughter Relationship Mother-Daughter Relationship Death,,Watanabe Kensaku 
Never Say Goodbye,China ,47,7.9,687,"Three years ago, police officer Liu Yuan Wen sends back faulty intelligence, seemingly causing the death of his fiancée and fellow police officer Rong Yu. He also loses a friend in Rong Yao, his brother-in-law-to-be and a member of the drug task force. Disheartened by all the events, Liu Yuan Wen resigns from his position and cuts off all contact.

In the present time, Rong Yao has been promoted to leader of the task force and is ordered to provide ongoing support and resources to the sole undercover operative in Group K, a drug cartel led by Mr. Ou. Turns out the undercover Mu Qing is actually Liu Yuan Wen, and the pair must work together to bring the criminals to justice.

(Source: cfensi)","Action,  Romance,  Crime ",Undercover Agent Male Lead Organized Crime Slight Romance,,Chen Xue 
Unlocked,South Korea ,,7.9,"5,078","A woman’s life is turned upside-down when a dangerous man gets a hold of her lost cell phone and uses it to track her every move.

(Source: Netflix) ","Thriller,  Mystery,  Crime,  Drama ",Investigation Social Media Father-Daughter Relationship Naive Female Lead Suspense Adapted From A Novel Graphic Violence Best Friends' Relationship Stalker Male Lead Detective Male Lead,Kim Tae Joon ,
Rosy Business Season 2: No Regrets,Hong Kong ,32,7.9,298,"Guangzhou is in a state of political turmoil in the 1930s. Gangsters are on a rampage and opium trading becomes rampant. As they watch the illicit profits from opium trading escalate, the government forms the Anti-Smoking Bureau under the guise of suppressing opium, but the bureau is under the influence of Cheng Long Kwan, the gang's kingpin. His eldest daughter Cheng Kau Mui who is an unscrupulous person soon returns from Shanghai to reap the rewards. Mui meticulously plans her every move.

On the other hand, Lau Sing is the leader of the Criminal Investigation Team. He has worked hard all his life to ensure an easy trail for his family, especially for his bed-ridden younger sister Lau Ching. Despite his hot temper, he values friendship and brotherhood more than anything else. Once, he almost sacrificed his life to help his timid teammate, Pai Kuat.

Meanwhile, the Japanese army invades China and Canton falls into the hands of the Japanese. Mui enters the darkest time in her life when her aunt Cheng Long Hei frames her.

(Source: Wikipedia)","Historical,  Crime,  Drama ",Historical Fiction Chinese Republican Era Strong Female Lead Friendship,Lee Tim Sing ,Cheung Wah Biu 
School 2013 Special,South Korea ,1,7.9,"1,849",The class reunites with the teachers for the last time to reminisce about their time together. ,"Youth,  Drama ",Student Supporting Character Student Male Lead School Setting Teenager Supporting Character Teenager Male Lead Teacher Male Lead High School Bromance Friendship,,
CHANGE,Japan ,10,7.9,756,"Asakura Keita, 35, is an all-around nice guy who is a primary school teacher from rural Nagano Prefecture. His recently deceased father had been a Diet (House of Representatives) member from Kyushu and Keita finds himself under pressure to inherit his father's position and seat. Although Keita has no political aspirations, he agrees to run as a Diet candidate for his father's seat to get everyone off his back permanently. 

Backing from some sharp political operatives sweeps him into the Diet, which leads to a shot at the Prime Minister’s position. 
Once elected, he finds himself bounced about and manipulated by the elders of the Seiyuto (Political Friends Party) as he tries to use his power to change things for the better. But can a small town former primary school teacher really effect the change he feels his country needs?

(Source: MyDramaList)","Comedy,  Law,  Romance,  Political ",Elections Transformation Political Campaign Power Struggle Miniseries Character Development Drama,"Hirano Shin,  Sawada Kensaku ",Fukuda Yasushi 
Yaksha: Ruthless Operations,South Korea ,,7.9,"3,493","Nicknamed after a human-devouring spirit, the ruthless leader of an overseas black ops team takes up a dangerous mission in a city riddled with spies.

Kang In leads a secret NIS operation team in Shenyang, China. His nickname is Yacha, which refers to a fierce ghost who harasses or kills people. Kang In is a cold-blooded man. He achieves his objectives by using any means necessary.

Meanwhile, Ji Hoon is a prosecutor in the Seoul Central District Prosecutor's Office. He follows the law no matter what. He gets demoted to Shenyang, China. There, Ji Hoon comes up against Kang In.

(Source: Netflix, AsianWiki)","Action,  Thriller,  Mystery,  Crime ",Prosecutor Male Lead Espionage Investigation Adventure Suspense Co-workers' Relationship Bilingual Supporting Character Clandestine Operation Cold-blooded Male Lead Fight For Justice,er & Director: Na Hyun ,Ahn Sang Hoon 
